Energy,Spectral_spread,Spectral_rollof,MFCC2,MFCC3,Class
0.00772,0.14,0.153,-1.37,0.519,Cry
0.00755,0.147,0.039,-2.2,0.316,Cry
0.00612,0.148,0.29,-0.288,0.814,Cry
0.00804,0.149,0.291,-0.33,0.915,Cry
0.00971,0.139,0.176,-0.902,0.773,Cry
0.00831,0.144,0.152,-2.04,0.584,Cry
0.0137,0.131,0.179,-1.82,0.546,Cry
0.0143,0.135,0.131,-0.982,0.171,Cry
0.00656,0.141,0.0501,-1.25,0.264,Cry
0.00657,0.153,0.285,-2.39,0.215,Cry
0.00444,0.137,0.172,-1.67,0.373,Cry
0.00404,0.157,0.102,-2.12,0.478,Cry
0.00729,0.148,0.285,-0.831,1.05,Cry
0.00725,0.101,0.119,0.247,-1.45,Cry
0.0109,0.0993,0.132,-0.771,-1.66,Cry
0.0118,0.104,0.114,-0.634,-1.68,Cry
0.0205,0.0983,0.128,-0.781,-1.79,Cry
0.00837,0.0938,0.157,-0.74,-1.83,Cry
0.012,0.0894,0.149,-0.749,-1.85,Cry
0.012,0.0966,0.133,-0.795,-1.81,Cry
0.0127,0.0871,0.136,-0.402,-1.73,Cry
0.0173,0.0966,0.111,-0.519,-1.9,Cry
0.0119,0.094,0.156,-0.198,-2.02,Cry
0.0249,0.119,0.164,-1.6,-0.163,Cry
0.0157,0.143,0.0901,-1.81,-0.402,Cry
0.0365,0.0978,0.15,-1.65,-0.493,Cry
0.0242,0.11,0.0846,-1.8,-0.463,Cry
0.0127,0.138,0.14,-1.21,-0.379,Cry
0.00798,0.201,0.134,-1.11,-0.108,Cry
0.0061,0.221,0.0814,-1.42,-0.443,Cry
0.0164,0.192,0.144,0.0138,-0.445,Cry
0.00666,0.231,0.0697,-0.195,-0.564,Cry
0.00959,0.0914,0.126,-2.62,-1.27,Cry
0.00979,0.0809,0.143,-2.6,-1.09,Cry
0.0374,0.0796,0.0418,-2.66,-0.384,Cry
0.0141,0.094,0.0757,-1.76,0.189,Cry
0.0194,0.0809,0.113,-1.77,-0.483,Cry
0.0215,0.0769,0.0767,-1.16,0.279,Cry
0.0107,0.0788,0.0988,-0.184,-0.0998,Cry
0.0159,0.0751,0.0961,-0.0992,-0.0537,Cry
0.0253,0.0798,0.0988,-1.01,-0.437,Cry
0.0254,0.0896,0.117,-1.68,-0.428,Cry
0.00919,0.101,0.109,-1.38,-0.478,Cry
0.0267,0.0828,0.0346,-1.56,0.319,Cry
0.0132,0.095,0.121,-1.7,0.336,Cry
0.0141,0.092,0.184,-1.89,-0.082,Cry
0.0151,0.1,0.126,-0.941,-0.356,Cry
0.0215,0.103,0.042,-1.8,-0.0444,Cry
0.0277,0.128,0.109,0.314,-0.437,Cry
0.0338,0.137,0.109,0.422,-0.406,Cry
0.0231,0.153,0.0992,2.81,0.17,Cry
0.0338,0.155,0.141,2.75,0.082,Cry
0.0304,0.149,0.0933,2.37,0.357,Cry
0.0411,0.151,0.114,2.41,0.375,Cry
0.0737,0.14,0.0037,2.64,0.32,Cry
0.0311,0.151,0.0655,2.6,-0.225,Cry
0.0254,0.146,0.0769,2.48,0.541,Cry
0.0435,0.148,0.0798,2.67,0.062,Cry
0.0469,0.143,0.0909,3,-0.119,Cry
0.0355,0.139,0.0837,2.89,-0.00552,Cry
0.0361,0.145,0.0917,2.81,-0.00315,Cry
0.0316,0.134,0.0297,2.46,-0.0418,Cry
0.0359,0.152,0.0367,2.4,0.728,Cry
0.00718,0.119,0.092,0.801,0.894,Cry
0.0114,0.155,0.0608,0.864,1.87,Cry
0.00391,0.125,0.0533,0.608,1.91,Cry
0.00569,0.161,0.0648,0.114,1.71,Cry
0.0165,0.146,0.254,0.272,1.82,Cry
0.0129,0.135,0.238,0.22,1.82,Cry
0.00967,0.0916,0.0773,1.2,-1.11,Cry
0.0107,0.0917,0.0871,0.763,-1.75,Cry
0.0114,0.102,0.1,0.456,-1.18,Cry
0.0139,0.147,0.143,-1.04,1.91,Cry
0.0398,0.121,0.108,-1,2.23,Cry
0.0105,0.14,0.199,-1.09,2.07,Cry
0.0311,0.121,0.0936,-0.58,2.94,Cry
0.0268,0.149,0.0879,1.57,-0.886,Cry
0.012,0.151,0.0629,1.37,-1.03,Cry
0.00892,0.159,0.0586,1.48,-1.01,Cry
0.0111,0.163,0.061,1.43,-0.935,Cry
0.0371,0.158,0.144,-1.15,-2.32,Cry
0.0399,0.175,0.152,-1.42,-1.16,Cry
0.0332,0.171,0.182,-0.799,-1.37,Cry
0.017,0.101,0.194,-1.62,1.54,Cry
0.00595,0.12,0.183,-2.13,1.35,Cry
0.00235,0.137,0.183,-3.04,1.93,Cry
0.0155,0.101,0.152,-3.37,1.73,Cry
0.0623,0.0954,0.157,-1.96,1.48,Cry
0.0152,0.107,0.0853,-3.56,1.69,Cry
0.00548,0.115,0.0957,-3.53,1.71,Cry
0.0299,0.0899,0.175,-2.39,1.28,Cry
0.0347,0.088,0.185,-1.92,1.18,Cry
0.00594,0.109,0.173,-3.02,1.86,Cry
0.00551,0.151,0.429,-0.396,-1.4,Cry
0.0368,0.166,0.383,-0.23,-1.87,Cry
0.0295,0.164,0.41,-0.21,-1.91,Cry
0.0395,0.164,0.394,-0.231,-1.65,Cry
0.0336,0.166,0.404,-0.275,-1.79,Cry
0.0359,0.165,0.398,-0.265,-1.82,Cry
0.0319,0.157,0.273,-0.246,-1.85,Cry
0.0369,0.167,0.382,-0.235,-1.88,Cry
0.0299,0.164,0.409,-0.2,-1.9,Cry
0.0384,0.164,0.394,-0.24,-1.67,Cry
0.0349,0.167,0.404,-0.292,-1.79,Cry
0.0348,0.167,0.399,-0.301,-1.84,Cry
0.0312,0.157,0.28,-0.255,-1.86,Cry
0.0366,0.167,0.381,-0.214,-1.85,Cry
0.0301,0.165,0.409,-0.221,-1.91,Cry
0.0386,0.166,0.395,-0.261,-1.67,Cry
0.0354,0.166,0.401,-0.269,-1.78,Cry
0.0353,0.166,0.401,-0.29,-1.85,Cry
0.0317,0.157,0.282,-0.22,-1.83,Cry
0.0365,0.167,0.378,-0.229,-1.86,Cry
0.032,0.166,0.405,-0.18,-1.89,Cry
0.037,0.166,0.399,-0.239,-1.68,Cry
0.036,0.165,0.399,-0.262,-1.76,Cry
0.0341,0.166,0.404,-0.297,-1.85,Cry
0.0319,0.158,0.288,-0.25,-1.86,Cry
0.0359,0.167,0.376,-0.21,-1.85,Cry
0.033,0.165,0.404,-0.201,-1.86,Cry
0.0347,0.164,0.404,-0.243,-1.67,Cry
0.0367,0.166,0.399,-0.27,-1.75,Cry
0.0356,0.166,0.404,-0.312,-1.86,Cry
0.0305,0.159,0.295,-0.251,-1.86,Cry
0.0316,0.166,0.366,-0.232,-1.84,Cry
0.0334,0.165,0.404,-0.218,-1.9,Cry
0.035,0.164,0.404,-0.26,-1.74,Cry
0.0361,0.165,0.399,-0.255,-1.75,Cry
0.0351,0.166,0.404,-0.265,-1.81,Cry
0.0321,0.16,0.295,-0.238,-1.85,Cry
0.0336,0.166,0.365,-0.243,-1.85,Cry
0.0337,0.165,0.404,-0.217,-1.9,Cry
0.0351,0.164,0.404,-0.239,-1.73,Cry
0.0361,0.166,0.399,-0.243,-1.75,Cry
0.035,0.166,0.404,-0.282,-1.82,Cry
0.0327,0.161,0.296,-0.253,-1.86,Cry
0.0341,0.166,0.365,-0.228,-1.85,Cry
0.0342,0.165,0.404,-0.224,-1.9,Cry
0.0344,0.164,0.404,-0.255,-1.73,Cry
0.0374,0.165,0.399,-0.233,-1.74,Cry
0.0358,0.166,0.404,-0.308,-1.86,Cry
0.0338,0.16,0.3,-0.264,-1.86,Cry
0.0321,0.165,0.361,-0.211,-1.84,Cry
0.0353,0.165,0.404,-0.153,-1.83,Cry
0.0341,0.164,0.403,-0.264,-1.79,Cry
0.0362,0.166,0.4,-0.23,-1.71,Cry
0.0337,0.166,0.404,-0.306,-1.86,Cry
0.0346,0.162,0.304,-0.255,-1.84,Cry
0.0329,0.167,0.346,-0.223,-1.84,Cry
0.0347,0.167,0.402,-0.229,-1.89,Cry
0.0356,0.164,0.403,-0.257,-1.8,Cry
0.0362,0.166,0.399,-0.2,-1.66,Cry
0.0343,0.167,0.405,-0.266,-1.81,Cry
0.0349,0.163,0.312,-0.259,-1.84,Cry
0.0332,0.164,0.326,-0.252,-1.88,Cry
0.0341,0.165,0.399,-0.235,-1.89,Cry
0.0354,0.165,0.4,-0.253,-1.85,Cry
0.037,0.166,0.399,-0.213,-1.63,Cry
0.0322,0.166,0.405,-0.276,-1.83,Cry
0.036,0.164,0.327,-0.244,-1.84,Cry
0.0332,0.163,0.308,-0.253,-1.87,Cry
0.0336,0.165,0.398,-0.227,-1.88,Cry
0.0363,0.164,0.4,-0.197,-1.86,Cry
0.0379,0.165,0.397,-0.154,-1.51,Cry
0.0364,0.166,0.407,-0.264,-1.77,Cry
0.0369,0.165,0.352,-0.237,-1.82,Cry
0.0333,0.164,0.304,-0.221,-1.85,Cry
0.0331,0.165,0.394,-0.226,-1.85,Cry
0.0352,0.164,0.403,-0.216,-1.88,Cry
0.0393,0.165,0.395,-0.254,-1.57,Cry
0.0328,0.167,0.409,-0.33,-1.83,Cry
0.0362,0.165,0.368,-0.236,-1.83,Cry
0.0325,0.162,0.298,-0.254,-1.87,Cry
0.0344,0.166,0.392,-0.22,-1.87,Cry
0.0339,0.165,0.404,-0.179,-1.86,Cry
0.0387,0.164,0.393,-0.224,-1.59,Cry
0.036,0.167,0.41,-0.361,-1.86,Cry
0.0367,0.166,0.37,-0.259,-1.84,Cry
0.0329,0.162,0.293,-0.251,-1.86,Cry
0.0364,0.165,0.389,-0.218,-1.86,Cry
0.0328,0.165,0.405,-0.195,-1.89,Cry
0.0392,0.165,0.394,-0.276,-1.59,Cry
0.0343,0.167,0.41,-0.345,-1.86,Cry
0.037,0.165,0.377,-0.255,-1.84,Cry
0.0318,0.161,0.283,-0.251,-1.85,Cry
0.0361,0.165,0.386,-0.22,-1.89,Cry
0.0314,0.164,0.407,-0.213,-1.89,Cry
0.0396,0.164,0.394,-0.247,-1.61,Cry
0.0357,0.167,0.409,-0.319,-1.85,Cry
0.0374,0.165,0.381,-0.24,-1.82,Cry
0.0319,0.158,0.279,-0.251,-1.85,Cry
0.0357,0.165,0.385,-0.197,-1.87,Cry
0.0299,0.164,0.408,-0.237,-1.91,Cry
0.039,0.164,0.394,-0.24,-1.61,Cry
0.0302,0.168,0.407,-0.299,-1.82,Cry
0.0372,0.167,0.388,-0.252,-1.82,Cry
0.0308,0.159,0.272,-0.276,-1.87,Cry
0.0377,0.166,0.384,-0.207,-1.87,Cry
0.03,0.164,0.409,-0.223,-1.88,Cry
0.0385,0.165,0.394,-0.218,-1.58,Cry
0.033,0.167,0.405,-0.289,-1.81,Cry
0.0364,0.165,0.394,-0.269,-1.84,Cry
0.0323,0.157,0.266,-0.273,-1.87,Cry
0.0377,0.166,0.384,-0.227,-1.87,Cry
0.0304,0.164,0.41,-0.202,-1.9,Cry
0.037,0.165,0.394,-0.252,-1.66,Cry
0.0336,0.168,0.405,-0.316,-1.83,Cry
