Energy,Spectral_spread,Spectral_rollof,MFCC2,MFCC3,Class
0.0334,0.161,0.298,-0.228,-1.84,Cry
0.0347,0.165,0.392,-0.184,-1.84,Cry
0.0336,0.164,0.404,-0.216,-1.87,Cry
0.0382,0.165,0.394,-0.208,-1.57,Cry
0.0371,0.168,0.41,-0.359,-1.86,Cry
0.037,0.164,0.37,-0.238,-1.82,Cry
0.0327,0.161,0.293,-0.231,-1.84,Cry
0.0354,0.165,0.389,-0.214,-1.87,Cry
0.0336,0.164,0.405,-0.229,-1.89,Cry
0.0391,0.164,0.394,-0.255,-1.58,Cry
0.0337,0.167,0.41,-0.319,-1.85,Cry
0.0371,0.166,0.376,-0.222,-1.81,Cry
0.033,0.163,0.283,-0.229,-1.83,Cry
0.0366,0.167,0.386,-0.203,-1.87,Cry
0.0304,0.165,0.406,-0.217,-1.9,Cry
0.0376,0.164,0.394,-0.262,-1.61,Cry
0.037,0.167,0.409,-0.323,-1.85,Cry
0.0373,0.165,0.381,-0.261,-1.84,Cry
0.0313,0.159,0.279,-0.239,-1.84,Cry
0.0371,0.167,0.385,-0.188,-1.85,Cry
0.0301,0.165,0.408,-0.235,-1.91,Cry
0.0388,0.164,0.394,-0.241,-1.6,Cry
0.0321,0.168,0.407,-0.304,-1.82,Cry
0.0371,0.166,0.388,-0.283,-1.84,Cry
0.0313,0.158,0.272,-0.256,-1.85,Cry
0.038,0.166,0.384,-0.17,-1.84,Cry
0.031,0.165,0.41,-0.235,-1.87,Cry
0.0392,0.165,0.394,-0.263,-1.61,Cry
0.0317,0.167,0.405,-0.264,-1.79,Cry
0.0359,0.165,0.394,-0.286,-1.85,Cry
0.0323,0.158,0.266,-0.266,-1.85,Cry
0.0378,0.167,0.384,-0.225,-1.88,Cry
0.0296,0.164,0.41,-0.202,-1.91,Cry
0.0386,0.164,0.394,-0.234,-1.65,Cry
0.0326,0.166,0.405,-0.271,-1.78,Cry
0.0376,0.165,0.397,-0.294,-1.82,Cry
0.0317,0.157,0.27,-0.266,-1.86,Cry
0.0376,0.167,0.383,-0.209,-1.85,Cry
0.0294,0.164,0.41,-0.223,-1.92,Cry
0.0388,0.164,0.394,-0.224,-1.64,Cry
0.0353,0.166,0.404,-0.302,-1.81,Cry
0.036,0.166,0.399,-0.256,-1.81,Cry
0.0311,0.157,0.276,-0.269,-1.88,Cry
0.0367,0.166,0.381,-0.208,-1.85,Cry
0.0297,0.164,0.41,-0.207,-1.9,Cry
0.0385,0.165,0.395,-0.24,-1.67,Cry
0.0336,0.167,0.402,-0.271,-1.77,Cry
0.0342,0.168,0.399,-0.28,-1.84,Cry
0.0318,0.157,0.281,-0.25,-1.85,Cry
0.0369,0.167,0.38,-0.217,-1.85,Cry
0.0312,0.166,0.407,-0.163,-1.85,Cry
0.0368,0.165,0.397,-0.277,-1.66,Cry
0.0358,0.166,0.4,-0.266,-1.76,Cry
0.0362,0.166,0.403,-0.266,-1.82,Cry
0.0314,0.156,0.285,-0.238,-1.85,Cry
0.0362,0.167,0.378,-0.231,-1.87,Cry
0.0122,0.128,0.126,-2.77,-0.376,Cry
0.0209,0.155,0.24,-3.12,-1.12,Cry
0.0183,0.142,0.237,-3.8,-0.528,Cry
0.016,0.131,0.137,-1.01,0.542,Cry
0.00594,0.123,0.13,-2.89,1.84,Cry
0.00364,0.148,0.207,-4.38,-0.0293,Cry
0.0136,0.125,0.138,-3.07,-0.162,Cry
0.0209,0.155,0.24,-3.12,-1.12,Cry
0.0183,0.142,0.237,-3.8,-0.528,Cry
0.016,0.131,0.137,-1.01,0.542,Cry
0.0249,0.175,0.326,-0.991,-0.173,Cry
0.053,0.165,0.293,-0.662,-0.888,Cry
0.0283,0.16,0.227,2.29,1.96,Cry
0.0288,0.115,0.124,-2.45,0.888,Cry
0.00836,0.157,0.135,-3.25,1.6,Cry
0.00594,0.123,0.13,-2.89,1.84,Cry
0.00364,0.148,0.207,-4.38,-0.0293,Cry
0.00894,0.13,0.0713,-1.45,0.687,Cry
0.0285,0.117,0.125,-1.65,0.832,Cry
0.0322,0.104,0.106,-1.19,0.575,Cry
0.00761,0.111,0.113,-2.61,0.815,Cry
0.0257,0.102,0.154,-1.16,0.701,Cry
0.0278,0.117,0.216,-0.608,0.617,Cry
0.0186,0.111,0.113,-3.08,1.16,Cry
0.00831,0.112,0.0725,-3,0.174,Cry
0.0173,0.143,0.0293,1.97,0.475,Cry
0.00254,0.209,0.106,1.03,0.154,Cry
0.00948,0.172,0.109,-0.109,-0.0868,Cry
0.00293,0.175,0.224,-0.0994,0.319,Cry
0.0222,0.138,0.03,1.04,-0.457,Cry
0.00463,0.155,0.252,0.167,-0.224,Cry
0.00685,0.141,0.247,-0.169,0.204,Cry
0.00606,0.173,0.0421,-1.46,-1.07,Play
0.017,0.192,0.0382,-1.86,-1.51,Play
0.00108,0.243,0.0679,2.71,-0.134,Play
0.000545,0.228,0.178,2.07,-0.188,Play
0.000541,0.228,0.209,1.02,-0.89,Play
0.000354,0.22,0.15,0.728,-0.642,Play
0.000529,0.242,0.117,1.49,-0.857,Play
6.82E-05,0.209,0.469,2.38,-0.401,Play
5.56E-05,0.187,0.521,1.39,0.166,Play
9.88E-05,0.187,0.486,1.22,0.0787,Play
6.27E-05,0.2,0.486,0.298,-1.45,Play
0.000384,0.204,0.155,0.713,-1.1,Play
7.26E-05,0.211,0.234,1.45,-0.509,Play
0.000755,0.223,0.0999,2.12,-1.01,Play
8.88E-05,0.193,0.23,2.56,-0.537,Play
0.000441,0.228,0.354,2.27,-0.453,Play
0.00017,0.223,0.496,1.94,-0.402,Play
0.000126,0.234,0.498,1.6,-0.424,Play
0.00146,0.259,0.0799,2.97,-0.293,Play
5.11E-05,0.195,0.665,2.87,-0.103,Play
0.000251,0.162,0.636,1.82,-0.536,Play
0.000133,0.172,0.655,1.59,-0.463,Play
0.00013,0.19,0.656,2.46,-0.328,Play
0.000226,0.205,0.303,3.12,-0.256,Play
0.000297,0.2,0.387,3.35,-0.154,Play
0.000546,0.193,0.113,3.31,-0.993,Play
0.000427,0.207,0.196,1.08,-0.503,Play
0.000101,0.197,0.485,1.39,-0.219,Play
0.000574,0.186,0.454,1.54,0.0666,Play
0.000138,0.19,0.49,2.03,0.0917,Play
9.87E-05,0.201,0.421,2.36,-0.222,Play
0.000148,0.202,0.275,0.829,-1.34,Play
6.01E-05,0.204,0.632,2.23,0.0332,Play
0.000112,0.188,0.659,2.92,0.049,Play
0.000137,0.196,0.469,1.4,-0.245,Play
0.000101,0.197,0.461,0.964,-0.771,Play
0.000287,0.18,0.464,1.61,-0.818,Play
0.000164,0.196,0.487,1.88,-0.92,Play
0.000656,0.207,0.125,2.55,-0.561,Play
0.000106,0.268,0.643,2.02,-1.1,Play
0.00196,0.227,0.0061,1.96,-1.13,Play
0.00292,0.224,0.00448,2.78,-1.57,Play
0.000131,0.207,0.397,2.65,-1.11,Play
4.26E-05,0.225,0.502,3.3,-0.267,Play
0.000317,0.21,0.45,2.25,-0.418,Play
0.000601,0.215,0.213,3.36,-0.662,Play
0.000118,0.238,0.199,1.34,-0.613,Play
0.000485,0.223,0.221,1.95,-0.594,Play
0.000469,0.233,0.232,0.89,-0.656,Play
0.000221,0.234,0.126,1.38,-0.659,Play
0.000869,0.225,0.152,1.16,-0.569,Play
0.000106,0.213,0.605,2.98,-0.179,Play
0.000129,0.164,0.655,2.26,-0.33,Play
0.000132,0.17,0.655,2.28,-0.211,Play
0.000162,0.181,0.667,2.01,-0.662,Play
0.00028,0.177,0.652,1.85,-0.561,Play
0.000139,0.199,0.66,2.78,-0.511,Play
0.000789,0.194,0.0929,3.82,-0.477,Play
0.000233,0.195,0.454,2.97,-0.0974,Play
0.000286,0.185,0.671,2.48,0.0831,Play
0.000169,0.183,0.666,2.4,-0.0978,Play
0.000286,0.168,0.656,1.54,0.0679,Play
0.00021,0.163,0.645,1.82,-0.837,Play
0.000168,0.179,0.662,2.61,0.32,Play
0.000203,0.188,0.532,2.6,-0.419,Play
0.000287,0.185,0.535,2.52,-0.317,Play
0.00013,0.197,0.494,2.83,-0.141,Play
9.97E-05,0.192,0.433,1.6,-0.932,Play
0.000126,0.198,0.386,2.18,-0.79,Play
0.000337,0.221,0.193,2.12,-1.09,Play
0.000409,0.213,0.171,2.88,-0.285,Play
0.000119,0.219,0.438,2.53,-0.285,Play
0.000115,0.193,0.383,2.9,-0.369,Play
9.76E-05,0.217,0.527,2.36,-0.207,Play
0.000141,0.227,0.466,1.72,-0.351,Play
0.0043,0.267,0.00365,2.91,-0.502,Play
0.0028,0.257,0.00472,2.76,-0.891,Play
0.00157,0.269,0.00394,2.8,-0.699,Play
0.000853,0.235,0.113,1.77,-0.155,Play
0.000322,0.214,0.253,0.779,-0.742,Play
0.00208,0.256,0.0199,1.78,-0.676,Play
0.000123,0.214,0.399,1.75,-0.574,Play
0.00108,0.25,0.0101,1.42,-0.913,Play
0.000239,0.219,0.286,3.13,-0.537,Play
0.00053,0.219,0.0914,2.73,0.128,Play
0.0016,0.186,0.0858,3.55,0.177,Play
0.000692,0.212,0.163,3.35,-0.328,Play
0.000236,0.187,0.48,2.9,-0.453,Play
9.31E-05,0.182,0.469,2.69,-0.0796,Play
0.000139,0.183,0.472,2.57,0.191,Play
0.00033,0.19,0.486,2.57,-0.273,Play
0.000124,0.186,0.471,2.84,-0.297,Play
0.000205,0.204,0.46,2.44,-1.04,Play
0.0016,0.21,0.138,2.37,-0.475,Play
0.000161,0.19,0.479,2.39,0.188,Play
6.92E-05,0.22,0.418,1.73,-0.124,Play
0.00013,0.234,0.365,1.78,-0.278,Play
0.00377,0.265,0.00414,3.03,-1.46,Play
0.00475,0.258,0.00322,2.75,-0.918,Play
0.000292,0.218,0.209,2.39,-0.272,Play
0.00088,0.202,0.24,2.21,-0.46,Play
0.0011,0.211,0.12,2.39,-0.288,Play
0.000519,0.208,0.171,2.64,-0.488,Play
0.000683,0.205,0.12,2.82,-0.704,Play
0.00261,0.206,0.00299,3.04,0.228,Play
0.000536,0.215,0.176,3.57,-0.135,Play
0.00994,0.13,0.194,-3.52,-0.677,Play
0.00387,0.134,0.205,-2.96,-0.644,Play
0.00612,0.138,0.147,-4.72,0.055,Play
0.00201,0.145,0.181,-4.4,0.429,Play
0.0043,0.147,0.173,-4.49,0.377,Play
0.000731,0.186,0.407,-0.685,0.0452,Play
0.00206,0.169,0.365,-0.525,0.152,Play
0.0022,0.174,0.353,-0.48,0.148,Play
0.00145,0.172,0.389,-0.305,0.247,Play
0,nan,0,0,0,Play
0,nan,0,0,0,Play
0,nan,0,0,0,Play
0,nan,0,0,0,Play
0,nan,0,0,0,Play
0,nan,0,0,0,Play
0,nan,0,0,0,Play
0,nan,0,0,0,Play
0,nan,0,0,0,Play
0,nan,0,0,0,Play
0,nan,0,0,0,Play
0,nan,0,0,0,Play
0,nan,0,0,0,Play
0,nan,0,0,0,Play
0,nan,0,0,0,Play
0,nan,0,0,0,Play
0,nan,0,0,0,Play
0,nan,0,0,0,Play
0,nan,0,0,0,Play
0,nan,0,0,0,Play
0,nan,0,0,0,Play
0,nan,0,0,0,Play
0,nan,0,0,0,Play
0,nan,0,0,0,Play
0,nan,0,0,0,Play
0,nan,0,0,0,Play
0,nan,0,0,0,Play
0,nan,0,0,0,Play
0,nan,0,0,0,Play
0,nan,0,0,0,Play
0,nan,0,0,0,Play
0,nan,0,0,0,Play
0,nan,0,0,0,Play
0,nan,0,0,0,Play
0,nan,0,0,0,Play
0,nan,0,0,0,Play
0,nan,0,0,0,Play
0,nan,0,0,0,Play
0,nan,0,0,0,Play
0,nan,0,0,0,Play
0,nan,0,0,0,Play
0.00136,0.256,0.0627,1.81,1.21,Play
0.000697,0.251,0.409,2.55,1.51,Play
0.000275,0.223,0.557,1.89,1.51,Play
0.000355,0.198,0.603,0.298,-0.228,Play
0.000684,0.179,0.58,1.1,-0.889,Play
0.000651,0.18,0.561,0.57,-0.386,Play
0.000711,0.184,0.589,-0.166,-0.52,Play
0.000752,0.195,0.616,0.494,-0.395,Play
0.000556,0.191,0.507,0.285,-0.204,Play
0.000577,0.204,0.524,0.239,0.196,Play
0.000269,0.202,0.554,0.269,-0.313,Play
0.000283,0.188,0.527,-0.131,-0.162,Play
0.000378,0.202,0.533,-0.0654,-0.676,Play
0.000858,0.193,0.472,0.664,-0.296,Play
0.000354,0.219,0.533,1.1,-0.244,Play
0.000484,0.2,0.62,0.324,-0.278,Play
0.000541,0.234,0.665,0.514,-0.192,Play
0.000165,0.24,0.665,0.509,-0.781,Play
0.000705,0.218,0.588,0.456,-0.101,Play
0.000385,0.215,0.603,0.537,-0.333,Play
0.00174,0.201,0.244,0.464,-0.403,Play
0.000584,0.196,0.558,0.242,-0.19,Play
0.000649,0.19,0.53,0.109,-0.128,Play
0.000431,0.21,0.581,0.0525,-0.114,Play
0.000679,0.213,0.593,0.525,-0.135,Play
0.000665,0.204,0.609,0.374,-0.16,Play
0.000479,0.213,0.611,0.256,-0.164,Play
0.000518,0.209,0.617,0.671,-0.0872,Play
0.000374,0.193,0.567,0.625,-0.212,Play
0.000694,0.208,0.586,1.19,-0.302,Play
0.000667,0.194,0.554,0.887,0.382,Play
0.000488,0.204,0.541,0.864,-0.359,Play
0.000755,0.21,0.573,0.381,-0.433,Play
0.000577,0.213,0.573,1.03,-0.41,Play
0.000376,0.218,0.604,0.593,-0.334,Play
0.000573,0.214,0.555,0.125,-0.209,Play
0.000654,0.218,0.55,0.103,-0.143,Play
0.00112,0.205,0.306,-0.765,-0.0396,Play
0.000525,0.208,0.485,0.263,-0.371,Play
0.000424,0.212,0.586,1.26,-0.315,Play
0.000634,0.221,0.264,-0.95,-0.0548,Play
0.000334,0.21,0.443,-0.192,-0.404,Play
0.000256,0.207,0.449,0.0184,-0.362,Play
0.000534,0.197,0.542,0.486,-0.148,Play
0.00039,0.194,0.47,-0.0593,0.0562,Play
0.000426,0.194,0.464,0.133,0.0476,Play
0.000404,0.197,0.523,-0.214,-0.131,Play
0.000348,0.195,0.484,0.0543,-0.327,Play
0.000634,0.207,0.593,-0.109,-0.365,Play
0.000527,0.215,0.562,0.134,0.359,Play
0.000212,0.201,0.543,0.284,-0.216,Play
0.000245,0.212,0.516,0.567,-0.0183,Play
0.000342,0.203,0.539,0.0242,-0.0287,Play
0.0003,0.211,0.494,0.359,-0.495,Play
0.000539,0.207,0.584,0.267,-0.00378,Play
0.000396,0.219,0.594,0.589,0.0433,Play
0.00117,0.204,0.609,0.442,-0.198,Play
0.000914,0.198,0.555,1.08,-0.22,Play
0.000467,0.201,0.55,0.203,0.0815,Play
0.000694,0.216,0.636,0.0577,-0.344,Play
0.000787,0.205,0.605,0.177,-0.0768,Play
0.00104,0.196,0.54,0.32,-0.403,Play
0.00132,0.194,0.596,0.391,-0.292,Play
0.000609,0.188,0.563,0.434,0.937,Play
0.000708,0.186,0.578,0.256,0.127,Play
0.00113,0.199,0.59,0.386,-0.332,Play
0.00145,0.215,0.616,0.817,-0.118,Play
0.000544,0.187,0.583,0.737,-0.0913,Play
0.000892,0.197,0.594,0.52,-0.163,Play
0.000656,0.208,0.539,1.52,-0.455,Play
0.00153,0.202,0.58,0.864,-0.283,Play
0.00208,0.197,0.582,0.784,-0.209,Play
0.00113,0.209,0.603,0.832,0.106,Play
0.000754,0.21,0.564,0.174,-0.137,Play
0.000295,0.212,0.574,0.293,-0.115,Play
0.000551,0.195,0.584,0.233,-0.235,Play
0.000317,0.199,0.539,0.105,0.0274,Play
0.000218,0.316,0.945,0.376,-0.16,Play
0.0469,0.236,0.98,-2,-0.0228,Play
0.0113,0.0926,0.144,-3.83,0.846,Play
0.0133,0.109,0.136,-3.58,1.06,Play
0.0104,0.121,0.131,-3.57,0.948,Play
0.0132,0.108,0.133,-3.75,0.9,Play
0.00318,0.219,0.601,0.241,0.3,Play
0.00277,0.226,0.665,0.233,-0.0122,Play
0.00418,0.233,0.665,0.0281,-0.204,Play
0.00237,0.217,0.665,0.558,0.0573,Play
0.0167,0.181,0.235,0.0427,0.00893,Play
0.000905,0.095,0.226,0.24,0.742,Play
0.0133,0.0811,0.164,-1.36,-0.294,Play
0.0263,0.0857,0.173,-1.36,-0.865,Play
0.00714,0.0835,0.144,-0.358,-0.481,Play
0.00765,0.0689,0.159,-0.973,-1.07,Play
0.0084,0.0699,0.141,-0.809,-0.814,Play
0.00968,0.0692,0.156,-0.569,-0.681,Play
0.0179,0.0866,0.219,-2.67,0.322,Play
0.0267,0.0913,0.226,-1.33,0.525,Play
0.0177,0.0875,0.237,-1.47,0.49,Play
0.0185,0.0866,0.225,-1.09,-0.0374,Play
0.0195,0.0856,0.098,-0.814,0.174,Play
0.0187,0.0559,0.0936,-0.852,0.311,Play
0.0338,0.068,0.0903,-0.561,0.0802,Play
0.0303,0.0661,0.0911,-0.988,-0.118,Play
0.0223,0.08,0.156,-1.23,0.508,Play
0.0456,0.0785,0.156,-1.45,0.303,Play
0.0281,0.0795,0.159,-1.65,0.3,Play
0.0261,0.0621,0.0849,-2.26,0.809,Play
0.0176,0.0781,0.0924,-2.09,0.868,Play
0.00414,0.108,0.223,-0.979,0.177,Play
0.00376,0.11,0.158,-0.77,0.062,Play
0.00519,0.148,0.153,0.116,0.103,Play
0.00584,0.0687,0.0671,-3.04,-1.5,Play
0.0215,0.061,0.0676,-2.79,-1.7,Play
0.0151,0.0532,0.0709,-2.46,-1.36,Play
0.0269,0.0692,0.0708,-2.9,-1.32,Play
0.023,0.0573,0.0696,-3.07,-1.23,Play
0.00753,0.0561,0.0732,-2.77,-1.45,Play
0.0624,0.0733,0.0359,-0.992,0.559,Play
0.0577,0.0662,0.0362,-1.12,0.618,Play
0.0154,0.0959,0.121,-1.19,1.19,Play
0.014,0.128,0.108,-2.31,1.17,Play
0.000586,0.241,0.422,1.67,-1.24,Play
0.00066,0.242,0.363,1.46,-1.19,Play
0.000168,0.226,0.404,1.61,-1.47,Play
0.000457,0.237,0.406,1.5,-1.36,Play
0.000904,0.238,0.35,1.38,-1.38,Play
0.00328,0.256,0.00195,2.74,-0.42,Play
0.000625,0.26,0.0532,1.1,-1.47,Play
0.000356,0.245,0.338,1.64,-1.25,Play
0.000448,0.243,0.391,1.35,-1.15,Play
0.000136,0.238,0.562,1.19,-0.951,Play
8.46E-05,0.223,0.428,1.31,-1.09,Play
0.000609,0.226,0.433,1.44,-1.08,Play
0.000163,0.228,0.441,1.2,-0.992,Play
8.52E-05,0.218,0.441,1.36,-1.17,Play
0.000271,0.222,0.485,1.08,-0.857,Play
0.000364,0.227,0.418,1.2,-0.949,Play
0.000366,0.223,0.46,1.28,-0.98,Play
0.000378,0.234,0.454,1.23,-1.09,Play
6.16E-05,0.228,0.566,1.08,-1.07,Play
0.000191,0.223,0.495,0.953,-1.07,Play
0.000201,0.231,0.463,1.15,-0.939,Play
4.78E-05,0.212,0.54,1.19,-0.729,Play
0.000451,0.233,0.377,1.41,-1.15,Play
0.00126,0.22,0.495,1.4,-0.937,Play
0.000219,0.213,0.422,1.53,-1.09,Play
0.000255,0.211,0.412,1.39,-1.11,Play
0.000226,0.227,0.443,1.64,-0.964,Play
0.000735,0.233,0.455,1.59,-1.1,Play
0.000551,0.25,0.396,0.594,-0.907,Play
0.000687,0.29,0.203,1.54,-0.466,Play
0.000123,0.231,0.442,1.56,-1.07,Play
9.6E-05,0.21,0.496,1.96,-0.934,Play
0.000237,0.227,0.43,1.42,-1.03,Play
0.000195,0.228,0.558,1.27,-1.03,Play
0.000149,0.232,0.6,1.16,-1.04,Play
0.000171,0.205,0.437,1.12,-0.887,Play
0.00533,0.331,0.00896,1.52,-0.564,Play
2.63E-05,0.214,0.426,1.42,-0.735,Play
2.25E-05,0.205,0.452,1.23,-0.661,Play
0.000319,0.267,0.275,2,-0.826,Play
0.000457,0.235,0.332,1.22,-1.25,Play
0.000216,0.228,0.44,1.6,-1.06,Play
0.000236,0.229,0.405,1.32,-1.02,Play
0.000183,0.23,0.41,1.29,-0.865,Play
0.000118,0.225,0.416,1.5,-0.823,Play
0.000222,0.244,0.59,1.22,-1.22,Play
0.000447,0.242,0.345,1.06,-1.14,Play
0.000877,0.247,0.274,1.52,-1.15,Play
0.000207,0.226,0.49,1.67,-1.02,Play
9.48E-05,0.223,0.496,1.77,-1.05,Play
0.000384,0.243,0.451,1.33,-1.04,Play
0.000847,0.248,0.423,1.24,-1.06,Play
0.000905,0.257,0.37,1.56,-0.859,Play
0.000197,0.237,0.453,1.63,-1.28,Play
0.000289,0.218,0.5,1.43,-1.05,Play
0.000351,0.23,0.484,1.51,-1.16,Play
0.000283,0.222,0.538,1.51,-0.969,Play
0.000387,0.218,0.499,1.65,-0.846,Play
0.000302,0.217,0.525,1.91,-0.881,Play
0.000368,0.231,0.496,1.77,-0.844,Play
0.003,0.175,0.107,-1.73,-1.74,Play
0.000478,0.16,0.166,-1.52,-1.82,Play
0.000645,0.181,0.0205,-1.61,-1.9,Play
0.000846,0.154,0.0436,-2.06,-1.29,Play
0.00107,0.188,0.026,-1.68,-1.52,Play
0.00226,0.19,0.0204,-2.27,-1.61,Play
0.00728,0.177,0.0156,-1.45,-1.95,Play
0.00107,0.147,0.0489,-1.47,-2.08,Play
0.00634,0.167,0.00946,-1.35,-2.12,Play
0.000651,0.151,0.0571,-1.37,-1.93,Play
0.000447,0.186,0.303,-1.42,-1.9,Play
0.000425,0.157,0.171,-1.48,-1.86,Play
0.000272,0.154,0.211,-1.39,-1.68,Play
0.00025,0.176,0.201,-1.42,-1.73,Play
0.000858,0.157,0.0328,-1.5,-1.95,Play
0.00028,0.169,0.193,-1.36,-1.76,Play
0.0013,0.172,0.0868,-1.39,-1.95,Play
0.000641,0.154,0.102,-1.27,-2.03,Play
0.00124,0.148,0.145,-1.48,-1.73,Play
0.000889,0.165,0.0851,-1.48,-1.88,Play
0.0164,0.174,0.0099,-1.39,-1.76,Play
0.00313,0.16,0.0178,-1.53,-1.77,Play
0.0473,0.188,0.00636,-1.53,-1.77,Play
0.00734,0.18,0.00657,-1.54,-1.79,Play
0.00152,0.152,0.118,-1.53,-1.77,Play
0.00321,0.165,0.0105,-1.59,-1.83,Play
0.00321,0.176,0.0547,-1.56,-1.9,Play
0.000533,0.161,0.0448,-1.34,-1.68,Play
0.0415,0.192,0.00647,-1.64,-1.89,Play
0.00471,0.164,0.0083,-1.54,-1.81,Play
0.000212,0.173,0.228,-1.6,-1.76,Play
0.000314,0.169,0.21,-1.59,-1.83,Play
0.000467,0.164,0.167,-1.55,-1.79,Play
0.000217,0.161,0.223,-1.36,-1.61,Play
0.000899,0.169,0.12,-1.52,-1.82,Play
0.0021,0.165,0.054,-1.49,-1.77,Play
0.00129,0.148,0.0853,-1.67,-1.91,Play
0.00068,0.161,0.125,-1.55,-1.77,Play
0.00121,0.175,0.074,-1.4,-1.88,Play
0.000542,0.177,0.117,-1.41,-1.74,Play
0.000736,0.197,0.0142,-1.27,-1.66,Play
0.000496,0.163,0.0759,-1.43,-1.81,Play
0.00234,0.172,0.00761,-1.52,-1.88,Play
0.000993,0.151,0.101,-1.56,-1.86,Play
0.000604,0.154,0.136,-1.36,-1.65,Play
0.000275,0.151,0.132,-1.17,-1.61,Play
0.000369,0.172,0.102,-1.44,-1.74,Play
0.00733,0.188,0.00707,-1.41,-1.75,Play
0.000804,0.163,0.106,-1.33,-1.61,Play
0.0025,0.163,0.0612,-1.76,-1.66,Play
0.00112,0.164,0.0433,-1.48,-1.6,Play
0.00664,0.173,0.00728,-1.57,-1.9,Play
0.00454,0.183,0.00806,-1.31,-1.63,Play
0.0173,0.18,0.00646,-1.21,-1.6,Play
0.00204,0.156,0.0875,-1.21,-1.64,Play
0.0119,0.199,0.00559,1.87,-0.924,Play
0.00851,0.272,0.00255,3.86,0.0776,Play
0.000206,0.186,0.256,3.12,-0.0604,Play
0.00059,0.191,0.227,2.89,-0.187,Play
0.000302,0.163,0.313,3.43,0.238,Play
0.000488,0.205,0.244,2.95,0.234,Play
0.000197,0.162,0.258,1.58,-0.534,Play
0.000327,0.159,0.255,2.19,-0.0588,Play
0.000393,0.149,0.264,2.54,-0.246,Play
0.000169,0.171,0.253,2.2,0.101,Play
0.000167,0.174,0.258,2.85,0.206,Play
0.000108,0.175,0.294,1.9,0.429,Play
0.000186,0.163,0.252,3.02,0.326,Play
0.000443,0.167,0.23,3.74,0.278,Play
0.0031,0.236,0.00185,3.32,0.739,Play
0.00545,0.238,0.00187,3.61,0.382,Play
0.0013,0.203,0.258,3.15,0.499,Play
0.000302,0.193,0.292,2.48,0.46,Play
0.000157,0.164,0.364,2.61,0.546,Play
0.000218,0.16,0.358,3.17,0.223,Play
0.000248,0.168,0.313,2.77,0.312,Play
0.000231,0.174,0.325,2.32,0.536,Play
0.0001,0.189,0.462,2.68,0.394,Play
0.000131,0.161,0.281,3.11,0.481,Play
0.000154,0.156,0.257,3.15,0.318,Play
5.72E-05,0.163,0.278,3.14,0.082,Play
7.57E-05,0.173,0.218,2.28,0.138,Play
7.05E-05,0.151,0.205,3.05,0.648,Play
0.000221,0.181,0.205,3.41,0.525,Play
0.000436,0.185,0.263,2.97,-0.133,Play
0.000148,0.159,0.243,2.75,0.0537,Play
0.00235,0.216,0.162,3.1,0.588,Play
0.000158,0.17,0.227,2.96,0.51,Play
0.00472,0.258,0.00499,2.43,0.563,Play
0.00172,0.224,0.157,2,0.373,Play
0.000207,0.188,0.206,1.94,0.173,Play
0.000717,0.176,0.259,2.38,0.144,Play
0.000348,0.15,0.266,2.7,0.00175,Play
0.000103,0.168,0.249,2.17,0.0572,Play
0.00123,0.187,0.229,2.7,-0.188,Play
0.000378,0.164,0.242,1.81,-0.0823,Play
0.000301,0.161,0.242,1.93,-0.267,Play
0.000744,0.179,0.223,3.07,0.0852,Play
0.0002,0.148,0.247,2.35,-0.11,Play
0.0023,0.196,0.264,3.21,0.0842,Play
0.00289,0.222,0.221,3.35,-0.0412,Play
0.000356,0.163,0.357,2.99,0.519,Play
0.000276,0.16,0.334,2.5,0.623,Play
0.000356,0.186,0.336,2.78,0.425,Play
0.00056,0.195,0.342,3.17,0.727,Play
0.00106,0.223,0.0929,3.36,0.731,Play
0.000451,0.197,0.288,2.7,0.862,Play
0.000331,0.22,0.176,1.92,0.912,Play
0.000107,0.194,0.249,2.24,0.587,Play
0.000355,0.19,0.223,3.06,-0.16,Play
0.00014,0.192,0.249,2.5,0.315,Play
0.000221,0.168,0.258,1.57,0.207,Play
0.000157,0.195,0.277,1.43,0.808,Play
9E-05,0.189,0.289,1.94,0.554,Play
0.000779,0.175,0.255,3.04,0.329,Play
0.00685,0.279,0.00188,3.42,0.277,Play
0.00273,0.23,0.0164,3.6,0.416,Play
0.00101,0.184,0.223,2.29,-0.154,Play
0.00088,0.184,0.22,2.54,-0.383,Play
0.000197,0.198,0.265,3.65,0.428,Play
0.000842,0.198,0.342,3.62,-0.0317,Play
0.0018,0.196,0.302,3.79,0.261,Play
0.000487,0.195,0.185,3.41,-0.0543,Play
0.000317,0.177,0.24,3.1,0.0574,Play
7.14E-05,0.171,0.23,2.19,0.117,Play
0.000496,0.198,0.155,2.49,0.212,Play
0.00156,0.22,0.0976,2.77,0.53,Play
0.000601,0.183,0.207,2.28,0.541,Play
0.00416,0.203,0.188,3.08,0.23,Play
0.00101,0.173,0.202,2.81,0.558,Play
0.000858,0.189,0.166,3.31,0.528,Play
0.000994,0.169,0.195,3.92,0.332,Play
0.00103,0.186,0.213,3.58,0.374,Play
0.00272,0.197,0.196,3.71,0.237,Play
0.000397,0.187,0.21,3.74,0.537,Play
0.00132,0.173,0.212,3.11,0.206,Play
0.00138,0.207,0.185,3.38,0.389,Play
0.00703,0.263,0.00206,3.28,0.47,Play
