ZCR,Energy,Spectral_centroid,Spectral_spread,Spectral_rollof,MFCC1,MFCC2,MFCC3,MFCC5,MFCC6,MFCC7,Chroma_vector11,Class
0.125,0.00836,0.148,0.157,0.135,-31.4,-3.25,1.6,0.184,0.171,0.107,0.000162,Cry
0.0923,0.00594,0.126,0.123,0.13,-31.7,-2.89,1.84,0.374,0.243,0.111,0.00014,Cry
0.136,0.00364,0.159,0.148,0.207,-29.3,-4.38,-0.0293,0.0473,-0.363,0.406,0.000142,Cry
0.079,0.00894,0.103,0.13,0.0713,-30,-1.45,0.687,-0.0528,-0.332,-0.0464,2.46E-05,Cry
0.111,0.0285,0.13,0.117,0.125,-30.9,-1.65,0.832,0.149,-0.18,0.141,2.98E-05,Cry
0.0642,0.0322,0.105,0.104,0.106,-30.2,-1.19,0.575,0.105,-0.202,0.0641,0.000508,Cry
0.106,0.00761,0.115,0.111,0.113,-33.3,-2.61,0.815,-0.101,-0.17,0.168,4.14E-05,Cry
0.0911,0.0257,0.137,0.102,0.154,-31.3,-1.16,0.701,0.233,-0.0819,-0.06,4.73E-05,Cry
0.102,0.0278,0.154,0.117,0.216,-29.8,-0.608,0.617,0.0401,0.0163,-0.135,5.6E-05,Cry
0.0721,0.0186,0.115,0.111,0.113,-33.8,-3.08,1.16,0.285,-0.336,0.263,8.28E-05,Cry
0.0908,0.00831,0.0933,0.112,0.0725,-31.6,-3,0.174,-0.0795,-0.436,0.102,6.79E-05,Cry
0.0554,0.0173,0.15,0.143,0.0293,-27.5,1.97,0.475,-0.0424,0.262,0.585,0.000299,Cry
0.0586,0.00254,0.189,0.209,0.106,-22,1.03,0.154,-0.026,0.166,0.0962,0.00188,Cry
0.101,0.00948,0.184,0.172,0.109,-24.9,-0.109,-0.0868,-0.563,0.0991,0.00412,1.99E-05,Cry
0.068,0.00293,0.207,0.175,0.224,-27.2,-0.0994,0.319,-0.192,0.024,0.192,2.73E-05,Cry
0.0534,0.0222,0.125,0.138,0.03,-25.5,1.04,-0.457,-0.186,0.438,0.264,0.00374,Cry
0.0861,0.00463,0.177,0.155,0.252,-27.9,0.167,-0.224,-0.285,0.109,0.222,0.000198,Cry
0.0834,0.00685,0.163,0.141,0.247,-28.8,-0.169,0.204,-0.249,-0.173,0.178,7.42E-06,Cry
0.089,0.00606,0.143,0.173,0.0421,-27.7,-1.46,-1.07,0.338,-0.689,0.0532,7.41E-05,Play
0.0931,0.017,0.155,0.192,0.0382,-23.5,-1.86,-1.51,0.6,-0.817,0.235,8.96E-05,Play
0.0464,0.00108,0.209,0.243,0.0679,-23,2.71,-0.134,-0.0434,0.0885,0.104,0.00482,Play
0.0847,0.000545,0.226,0.228,0.178,-23.9,2.07,-0.188,0.21,0.168,0.0778,0.000679,Play
0.0958,0.000541,0.235,0.228,0.209,-23.5,1.02,-0.89,0.222,0.179,0.172,0.00217,Play
0.0852,0.000354,0.185,0.22,0.15,-23.8,0.728,-0.642,0.347,0.379,0.246,0.00146,Play
0.0904,0.000529,0.218,0.242,0.117,-23.2,1.49,-0.857,0.0454,0.112,0.0129,0.00108,Play
0.145,6.82E-05,0.327,0.209,0.469,-28.1,2.38,-0.401,-0.18,0.203,0.235,0.000774,Play
0.142,5.56E-05,0.347,0.187,0.521,-31.7,1.39,0.166,-0.00835,0.0956,0.053,8.11E-05,Play
0.12,9.88E-05,0.341,0.187,0.486,-30.2,1.22,0.0787,-0.0342,0.124,0.0192,7.2E-05,Play
0.116,6.27E-05,0.319,0.2,0.486,-27.7,0.298,-1.45,0.0339,0.226,0.0753,0.000718,Play
0.0822,0.000384,0.2,0.204,0.155,-23.7,0.713,-1.1,-0.247,-0.0646,-0.133,0.00238,Play
0.0922,7.26E-05,0.226,0.211,0.234,-26,1.45,-0.509,0.102,0.0993,-0.156,0.00113,Play
0.0763,0.000755,0.198,0.223,0.0999,-23.1,2.12,-1.01,0.0961,0.282,-0.195,0.00174,Play
0.0773,8.88E-05,0.222,0.193,0.23,-27.9,2.56,-0.537,-0.0693,0.169,0.0543,0.00134,Play
0.0601,0.000441,0.272,0.228,0.354,-24.3,2.27,-0.453,0.196,0.283,0.00379,0.00122,Play
0.0667,0.00017,0.301,0.223,0.496,-26.4,1.94,-0.402,0.0375,0.194,0.0783,0.00306,Play
0.0636,0.000126,0.288,0.234,0.498,-26.6,1.6,-0.424,0.103,0.121,0.0909,0.00171,Play
0.068,0.00146,0.244,0.259,0.0799,-23.4,2.97,-0.293,0.0975,0.0995,0.114,0.00254,Play
0.096,5.11E-05,0.439,0.195,0.665,-30.4,2.87,-0.103,0.122,0.213,0.125,0.000426,Play
0.182,0.000251,0.451,0.162,0.636,-32.6,1.82,-0.536,0.0393,0.189,0.225,1.3E-05,Play
0.143,0.000133,0.453,0.172,0.655,-32.2,1.59,-0.463,-0.0251,0.109,0.168,7.79E-05,Play
0.0866,0.00013,0.448,0.19,0.656,-30.2,2.46,-0.328,-0.00283,0.163,0.0807,0.000102,Play
0.0602,0.000226,0.254,0.205,0.303,-25.9,3.12,-0.256,0.0168,0.0648,0.0771,0.00356,Play
0.0712,0.000297,0.262,0.2,0.387,-26.9,3.35,-0.154,0.183,0.207,0.0705,0.0011,Play
0.0643,0.000546,0.195,0.193,0.113,-24.4,3.31,-0.993,0.134,0.0657,-0.0721,0.00262,Play
0.0645,0.000427,0.199,0.207,0.196,-23.7,1.08,-0.503,0.159,0.174,0.0667,0.00155,Play
0.112,0.000101,0.319,0.197,0.485,-29.8,1.39,-0.219,0.0716,0.242,0.181,0.000218,Play
0.155,0.000574,0.297,0.186,0.454,-30.5,1.54,0.0666,0.186,0.237,0.152,7.97E-05,Play
0.102,0.000138,0.331,0.19,0.49,-31.2,2.03,0.0917,0.241,0.281,0.373,0.000315,Play
0.054,9.87E-05,0.283,0.201,0.421,-28.5,2.36,-0.222,0.186,0.188,-0.0478,0.000613,Play
0.0815,0.000148,0.239,0.202,0.275,-25.7,0.829,-1.34,-0.106,0.11,-0.000623,0.00144,Play
0.0961,6.01E-05,0.408,0.204,0.632,-30,2.23,0.0332,0.0452,0.187,0.151,0.000115,Play
0.149,0.000112,0.448,0.188,0.659,-32.9,2.92,0.049,0.198,0.114,0.175,6.03E-05,Play
0.121,0.000137,0.305,0.196,0.469,-29.8,1.4,-0.245,0.272,0.264,0.0278,8.11E-05,Play
0.0906,0.000101,0.284,0.197,0.461,-28.9,0.964,-0.771,0.117,0.28,0.111,0.000281,Play
0.158,0.000287,0.309,0.18,0.464,-29.9,1.61,-0.818,0.251,0.245,0.196,4.44E-05,Play
0.107,0.000164,0.317,0.196,0.487,-28.3,1.88,-0.92,-0.0917,0.272,-0.0637,0.000142,Play
0.0561,0.000656,0.203,0.207,0.125,-24.5,2.55,-0.561,-0.018,0.0959,0.0342,0.00155,Play
0.0427,0.000106,0.359,0.268,0.643,-26.4,2.02,-1.1,0.102,0.183,-0.0766,0.00171,Play
0.0426,0.00196,0.174,0.227,0.0061,-21.5,1.96,-1.13,-0.112,0.285,-0.147,0.00191,Play
0.0542,0.00292,0.178,0.224,0.00448,-21.5,2.78,-1.57,0.0365,0.0378,-0.0312,0.00106,Play
0.0769,0.000131,0.281,0.207,0.397,-26.9,2.65,-1.11,-0.207,-0.0181,0.119,0.00102,Play
0.0711,4.26E-05,0.32,0.225,0.502,-29.6,3.3,-0.267,0.15,0.201,0.0835,0.00111,Play
0.093,0.000317,0.299,0.21,0.45,-26.5,2.25,-0.418,0.093,0.157,0.132,0.000364,Play
0.0493,0.000601,0.261,0.215,0.213,-24.9,3.36,-0.662,0.142,0.232,0.221,0.00131,Play
0.0849,0.000118,0.249,0.238,0.199,-25.3,1.34,-0.613,0.172,0.231,0.134,0.000747,Play
0.06,0.000485,0.236,0.223,0.221,-24.8,1.95,-0.594,0.0273,0.0983,-0.001,0.00105,Play
0.0881,0.000469,0.24,0.233,0.232,-23.6,0.89,-0.656,0.274,0.193,0.09,0.00209,Play
0.0559,0.000221,0.223,0.234,0.126,-24.8,1.38,-0.659,0.112,0.125,0.163,0.00711,Play
0.0728,0.000869,0.208,0.225,0.152,-22.7,1.16,-0.569,0.0975,0.085,0.0616,0.00133,Play
0.101,0.000106,0.391,0.213,0.605,-29.1,2.98,-0.179,0.1,0.147,0.0677,0.000419,Play
0.237,0.000129,0.462,0.164,0.655,-34.1,2.26,-0.33,0.153,0.206,0.191,1.08E-05,Play
0.202,0.000132,0.468,0.17,0.655,-33,2.28,-0.211,0.22,0.124,0.223,3.88E-05,Play
0.137,0.000162,0.472,0.181,0.667,-31.3,2.01,-0.662,0.155,0.0831,0.329,7.33E-05,Play
0.173,0.00028,0.463,0.177,0.652,-31.1,1.85,-0.561,0.0439,0.157,0.246,7.99E-05,Play
0.107,0.000139,0.437,0.199,0.66,-29.5,2.78,-0.511,0.287,0.315,0.292,0.000257,Play
0.0527,0.000789,0.186,0.194,0.0929,-24.5,3.82,-0.477,0.212,0.148,-0.00818,0.00337,Play
0.0942,0.000233,0.288,0.195,0.454,-28.4,2.97,-0.0974,0.0616,0.149,0.129,0.000358,Play
0.173,0.000286,0.47,0.185,0.671,-32.1,2.48,0.0831,0.163,0.163,0.256,7.06E-05,Play
0.141,0.000169,0.464,0.183,0.666,-31.1,2.4,-0.0978,-0.00719,0.131,0.0462,5.64E-05,Play
0.126,0.000286,0.464,0.168,0.656,-32.4,1.54,0.0679,0.147,0.169,0.18,7.11E-05,Play
0.14,0.00021,0.457,0.163,0.645,-31.3,1.82,-0.837,-0.0035,-0.174,0.00154,6.55E-05,Play
0.132,0.000168,0.443,0.179,0.662,-31.9,2.61,0.32,0.391,0.339,0.217,0.000187,Play
0.118,0.000203,0.361,0.188,0.532,-30,2.6,-0.419,0.0191,0.261,0.255,0.000266,Play
0.118,0.000287,0.361,0.185,0.535,-29.5,2.52,-0.317,0.314,0.473,0.22,0.000165,Play
0.0598,0.00013,0.33,0.197,0.494,-29.4,2.83,-0.141,0.177,0.106,0.154,0.000476,Play
0.0669,9.97E-05,0.287,0.192,0.433,-27,1.6,-0.932,-0.09,0.214,0.0199,0.00132,Play
0.0562,0.000126,0.264,0.198,0.386,-26.5,2.18,-0.79,-0.0976,0.202,-0.132,0.000412,Play
0.0536,0.000337,0.241,0.221,0.193,-24.7,2.12,-1.09,-0.23,0.127,-0.0215,0.0017,Play
0.0651,0.000409,0.237,0.213,0.171,-25.8,2.88,-0.285,-0.0121,0.287,0.102,0.00222,Play
0.0714,0.000119,0.289,0.219,0.438,-26.2,2.53,-0.285,-0.113,0.303,0.0041,0.000834,Play
0.0916,0.000115,0.246,0.193,0.383,-27.8,2.9,-0.369,0.0903,-0.0605,-0.0288,0.000179,Play
0.0788,9.76E-05,0.317,0.217,0.527,-27.2,2.36,-0.207,0.165,0.108,-0.0134,0.00137,Play
0.0649,0.000141,0.306,0.227,0.466,-26.1,1.72,-0.351,0.108,0.205,0.154,0.0019,Play
0.0675,0.0043,0.25,0.267,0.00365,-21.3,2.91,-0.502,0.0337,0.341,0.0515,0.00401,Play
0.0722,0.0028,0.217,0.257,0.00472,-21.4,2.76,-0.891,0.0296,0.0835,0.0856,0.00156,Play
0.0534,0.00157,0.208,0.269,0.00394,-22.2,2.8,-0.699,0.228,-0.0645,0.041,0.00446,Play
0.0687,0.000853,0.262,0.235,0.113,-23.6,1.77,-0.155,0.273,0.305,0.203,0.00313,Play
0.0617,0.000322,0.236,0.214,0.253,-24.2,0.779,-0.742,0.195,0.211,0.134,0.00108,Play
0.0708,0.00208,0.201,0.256,0.0199,-21.6,1.78,-0.676,-0.0639,0.353,0.231,0.00215,Play
0.0655,0.000123,0.28,0.214,0.399,-28,1.75,-0.574,1.04E-05,0.298,0.168,0.000819,Play
0.0492,0.00108,0.218,0.25,0.0101,-22,1.42,-0.913,-0.12,0.124,-0.027,0.00114,Play
0.0713,0.000239,0.269,0.219,0.286,-25.8,3.13,-0.537,0.0939,0.108,-0.0198,0.00165,Play
0.0802,0.00053,0.176,0.219,0.0914,-25.6,2.73,0.128,0.177,0.165,0.127,0.000889,Play
0.0651,0.0016,0.159,0.186,0.0858,-24.2,3.55,0.177,0.281,0.152,0.225,0.00202,Play
0.0467,0.000692,0.238,0.212,0.163,-24.3,3.35,-0.328,0.149,0.081,-0.00943,0.00159,Play
0.088,0.000236,0.32,0.187,0.48,-27.6,2.9,-0.453,-0.0432,0.107,0.0583,0.000275,Play
0.108,9.31E-05,0.317,0.182,0.469,-29.3,2.69,-0.0796,0.235,0.184,-0.0451,0.000279,Play
0.123,0.000139,0.327,0.183,0.472,-30.7,2.57,0.191,0.128,0.147,0.145,0.000221,Play
0.133,0.00033,0.317,0.19,0.486,-29.5,2.57,-0.273,-0.0295,0.2,0.124,4.71E-05,Play
0.0834,0.000124,0.317,0.186,0.471,-29.5,2.84,-0.297,0.214,0.21,-0.0449,0.000675,Play
0.0753,0.000205,0.308,0.204,0.46,-26.3,2.44,-1.04,-0.197,0.0835,-0.0292,0.000985,Play
0.0625,0.0016,0.268,0.21,0.138,-24,2.37,-0.475,0.12,0.585,0.374,0.00341,Play
0.0835,0.000161,0.31,0.19,0.479,-31.5,2.39,0.188,0.318,0.386,0.298,0.000307,Play
0.0552,6.92E-05,0.262,0.22,0.418,-26.9,1.73,-0.124,-0.0173,0.157,0.0244,0.00115,Play
0.0954,0.00013,0.273,0.234,0.365,-26.3,1.78,-0.278,0.12,0.267,0.0802,0.000912,Play
0.0471,0.00377,0.202,0.265,0.00414,-21.3,3.03,-1.46,0.0345,0.181,0.0164,0.00249,Play
0.0794,0.00475,0.275,0.258,0.00322,-22.8,2.75,-0.918,0.403,0.0021,0.0921,0.00183,Play
0.0589,0.000292,0.265,0.218,0.209,-27,2.39,-0.272,0.226,0.251,0.0878,0.0019,Play
0.0634,0.00088,0.238,0.202,0.24,-24.2,2.21,-0.46,0.0487,0.14,0.00288,0.000973,Play
0.0395,0.0011,0.262,0.211,0.12,-25.6,2.39,-0.288,0.267,0.147,0.0977,0.00484,Play
0.0788,0.000519,0.214,0.208,0.171,-24.4,2.64,-0.488,-0.00108,0.0614,0.0564,0.00211,Play
0.057,0.000683,0.197,0.205,0.12,-24.3,2.82,-0.704,0.0908,-0.0611,0.339,0.00178,Play
0.0362,0.00261,0.196,0.206,0.00299,-24.6,3.04,0.228,0.377,0.018,0.108,0.00656,Play
0.048,0.000536,0.251,0.215,0.176,-26.4,3.57,-0.135,0.221,0.0423,-0.0877,0.00222,Play
0.13,0.00994,0.172,0.13,0.194,-26.3,-3.52,-0.677,0.213,0.108,0.169,0.000274,Play
0.136,0.00387,0.187,0.134,0.205,-28.8,-2.96,-0.644,0.496,0.06,-0.18,0.000113,Play
0.101,0.00612,0.138,0.138,0.147,-26.7,-4.72,0.055,0.224,-0.304,0.0911,0.000149,Play
0.0988,0.00201,0.159,0.145,0.181,-28.4,-4.4,0.429,0.0129,-0.12,0.0698,0.000201,Play
0.108,0.0043,0.154,0.147,0.173,-26.8,-4.49,0.377,-0.476,0.148,0.0883,0.000251,Play
0.142,0.000731,0.28,0.186,0.407,-29,-0.685,0.0452,0.587,0.211,0.489,0.000109,Play
0.125,0.00206,0.241,0.169,0.365,-27.3,-0.525,0.152,0.412,0.0788,0.3,3.43E-05,Play
0.109,0.0022,0.236,0.174,0.353,-27,-0.48,0.148,0.633,0.0598,0.59,4.26E-05,Play
0.0883,0.00145,0.254,0.172,0.389,-27.9,-0.305,0.247,0.51,0.188,0.486,7.31E-05,Play
0,0,nan,nan,0,-50.6,0,0,0,0,0,nan,Play
0,0,nan,nan,0,-50.6,0,0,0,0,0,nan,Play
0,0,nan,nan,0,-50.6,0,0,0,0,0,nan,Play
0,0,nan,nan,0,-50.6,0,0,0,0,0,nan,Play
0,0,nan,nan,0,-50.6,0,0,0,0,0,nan,Play
0,0,nan,nan,0,-50.6,0,0,0,0,0,nan,Play
0,0,nan,nan,0,-50.6,0,0,0,0,0,nan,Play
0,0,nan,nan,0,-50.6,0,0,0,0,0,nan,Play
0,0,nan,nan,0,-50.6,0,0,0,0,0,nan,Play
0,0,nan,nan,0,-50.6,0,0,0,0,0,nan,Play
0,0,nan,nan,0,-50.6,0,0,0,0,0,nan,Play
0,0,nan,nan,0,-50.6,0,0,0,0,0,nan,Play
0,0,nan,nan,0,-50.6,0,0,0,0,0,nan,Play
0,0,nan,nan,0,-50.6,0,0,0,0,0,nan,Play
0,0,nan,nan,0,-50.6,0,0,0,0,0,nan,Play
0,0,nan,nan,0,-50.6,0,0,0,0,0,nan,Play
0,0,nan,nan,0,-50.6,0,0,0,0,0,nan,Play
0,0,nan,nan,0,-50.6,0,0,0,0,0,nan,Play
0,0,nan,nan,0,-50.6,0,0,0,0,0,nan,Play
0,0,nan,nan,0,-50.6,0,0,0,0,0,nan,Play
0,0,nan,nan,0,-50.6,0,0,0,0,0,nan,Play
0,0,nan,nan,0,-50.6,0,0,0,0,0,nan,Play
0,0,nan,nan,0,-50.6,0,0,0,0,0,nan,Play
0,0,nan,nan,0,-50.6,0,0,0,0,0,nan,Play
0,0,nan,nan,0,-50.6,0,0,0,0,0,nan,Play
0,0,nan,nan,0,-50.6,0,0,0,0,0,nan,Play
0,0,nan,nan,0,-50.6,0,0,0,0,0,nan,Play
0,0,nan,nan,0,-50.6,0,0,0,0,0,nan,Play
0,0,nan,nan,0,-50.6,0,0,0,0,0,nan,Play
0,0,nan,nan,0,-50.6,0,0,0,0,0,nan,Play
0,0,nan,nan,0,-50.6,0,0,0,0,0,nan,Play
0,0,nan,nan,0,-50.6,0,0,0,0,0,nan,Play
0,0,nan,nan,0,-50.6,0,0,0,0,0,nan,Play
0,0,nan,nan,0,-50.6,0,0,0,0,0,nan,Play
0,0,nan,nan,0,-50.6,0,0,0,0,0,nan,Play
0,0,nan,nan,0,-50.6,0,0,0,0,0,nan,Play
0,0,nan,nan,0,-50.6,0,0,0,0,0,nan,Play
0,0,nan,nan,0,-50.6,0,0,0,0,0,nan,Play
0,0,nan,nan,0,-50.6,0,0,0,0,0,nan,Play
0,0,nan,nan,0,-50.6,0,0,0,0,0,nan,Play
0,0,nan,nan,0,-50.6,0,0,0,0,0,nan,Play
0.0362,0.00136,0.305,0.256,0.0627,-24.3,1.81,1.21,0.287,0.00785,0.277,0.00268,Play
0.152,0.000697,0.336,0.251,0.409,-26.2,2.55,1.51,0.308,0.249,0.263,0.00303,Play
0.198,0.000275,0.376,0.223,0.557,-28.1,1.89,1.51,0.343,0.127,0.242,0.000563,Play
0.581,0.000355,0.372,0.198,0.603,-29.2,0.298,-0.228,-0.0325,-0.114,-0.152,5.55E-05,Play
0.316,0.000684,0.371,0.179,0.58,-28.9,1.1,-0.889,-0.519,-0.161,-0.0642,4.54E-05,Play
0.291,0.000651,0.35,0.18,0.561,-28.2,0.57,-0.386,0.0595,0.0694,0.00542,0.000115,Play
0.311,0.000711,0.372,0.184,0.589,-29.6,-0.166,-0.52,0.201,-0.214,-0.301,1.44E-05,Play
0.274,0.000752,0.371,0.195,0.616,-27.5,0.494,-0.395,-0.263,-0.151,-0.0119,4.72E-05,Play
0.312,0.000556,0.303,0.191,0.507,-27.1,0.285,-0.204,-0.00164,0.00632,-0.0328,8.72E-05,Play
0.311,0.000577,0.293,0.204,0.524,-25.2,0.239,0.196,0.0667,0.0658,-0.0519,0.000165,Play
0.381,0.000269,0.332,0.202,0.554,-26.9,0.269,-0.313,-0.18,0.0819,-0.127,0.000158,Play
0.425,0.000283,0.339,0.188,0.527,-29.3,-0.131,-0.162,-0.0902,0.027,-0.0561,4.75E-05,Play
0.378,0.000378,0.306,0.202,0.533,-26.2,-0.0654,-0.676,-0.0849,-0.0921,-0.084,0.000196,Play
0.316,0.000858,0.288,0.193,0.472,-24.7,0.664,-0.296,-0.13,0.0252,-0.0495,0.000283,Play
0.227,0.000354,0.306,0.219,0.533,-24.2,1.1,-0.244,0.322,-0.167,0.124,0.00123,Play
0.391,0.000484,0.364,0.2,0.62,-26.5,0.324,-0.278,-0.0595,-0.0808,0.0583,0.000192,Play
0.342,0.000541,0.336,0.234,0.665,-26,0.514,-0.192,-0.187,-0.156,-0.126,0.000169,Play
0.391,0.000165,0.333,0.24,0.665,-27.1,0.509,-0.781,-0.262,-0.195,-0.268,0.000323,Play
0.309,0.000705,0.304,0.218,0.588,-24.9,0.456,-0.101,-0.153,-0.1,-0.0285,0.000214,Play
0.353,0.000385,0.321,0.215,0.603,-26.5,0.537,-0.333,-0.28,-0.155,0.062,0.000159,Play
0.296,0.00174,0.262,0.201,0.244,-25.3,0.464,-0.403,0.21,-0.0679,-0.187,0.000101,Play
0.342,0.000584,0.334,0.196,0.558,-27.3,0.242,-0.19,0.0773,-0.111,-0.00722,5.56E-05,Play
0.34,0.000649,0.314,0.19,0.53,-26.1,0.109,-0.128,-0.0854,-0.0791,-0.149,0.00017,Play
0.367,0.000431,0.329,0.21,0.581,-26,0.0525,-0.114,0.0654,0.00805,-0.141,0.000147,Play
0.264,0.000679,0.341,0.213,0.593,-24.4,0.525,-0.135,0.0974,0.0221,0.111,0.000651,Play
0.375,0.000665,0.348,0.204,0.609,-26.3,0.374,-0.16,-0.0755,0.0948,-0.00642,0.00016,Play
0.318,0.000479,0.339,0.213,0.611,-25.6,0.256,-0.164,-0.0783,0.00868,-0.104,0.000189,Play
0.363,0.000518,0.356,0.209,0.617,-26.2,0.671,-0.0872,0.12,0.138,0.0616,0.000168,Play
0.344,0.000374,0.343,0.193,0.567,-27.2,0.625,-0.212,0.325,-0.22,-0.444,0.0001,Play
0.334,0.000694,0.331,0.208,0.586,-24.7,1.19,-0.302,0.409,-0.225,0.186,0.000475,Play
0.323,0.000667,0.325,0.194,0.554,-26.2,0.887,0.382,-0.162,0.105,0.0935,0.000159,Play
0.297,0.000488,0.322,0.204,0.541,-24.8,0.864,-0.359,-0.126,0.0818,-0.0853,0.000507,Play
0.281,0.000755,0.316,0.21,0.573,-24.4,0.381,-0.433,-0.196,0.0647,0.0932,0.000201,Play
0.307,0.000577,0.322,0.213,0.573,-24,1.03,-0.41,-0.112,0.145,-0.0252,0.0012,Play
0.356,0.000376,0.335,0.218,0.604,-25,0.593,-0.334,0.0202,-0.0165,0.00282,0.000352,Play
0.333,0.000573,0.271,0.214,0.555,-26.2,0.125,-0.209,0.164,0.117,-0.235,0.000152,Play
0.352,0.000654,0.273,0.218,0.55,-26.1,0.103,-0.143,-0.0217,0.0209,-0.0132,0.000174,Play
0.332,0.00112,0.236,0.205,0.306,-27,-0.765,-0.0396,-0.128,-0.0888,-0.226,4.04E-05,Play
0.321,0.000525,0.267,0.208,0.485,-26,0.263,-0.371,-0.0248,0.00606,-0.0464,0.000157,Play
0.283,0.000424,0.318,0.212,0.586,-24.8,1.26,-0.315,0.00137,-0.0227,0.00797,0.000523,Play
0.333,0.000634,0.244,0.221,0.264,-25.7,-0.95,-0.0548,-0.0624,-0.263,-0.208,0.000365,Play
0.346,0.000334,0.28,0.21,0.443,-26.8,-0.192,-0.404,-0.174,-0.0291,-0.0233,0.000155,Play
0.329,0.000256,0.283,0.207,0.449,-26.7,0.0184,-0.362,-0.157,-0.218,-0.128,9.71E-05,Play
0.364,0.000534,0.312,0.197,0.542,-26.9,0.486,-0.148,0.0802,-0.0499,0.0475,0.000148,Play
0.329,0.00039,0.292,0.194,0.47,-28.8,-0.0593,0.0562,-0.0138,-0.00292,-0.0517,5.22E-05,Play
0.311,0.000426,0.286,0.194,0.464,-27.9,0.133,0.0476,-0.0799,-0.158,-0.104,6.76E-05,Play
0.308,0.000404,0.294,0.197,0.523,-28.4,-0.214,-0.131,-0.0479,-0.0307,-0.0355,6.19E-05,Play
0.296,0.000348,0.29,0.195,0.484,-28.2,0.0543,-0.327,-0.171,-0.0438,-0.0174,8.48E-05,Play
0.323,0.000634,0.345,0.207,0.593,-25.8,-0.109,-0.365,-0.325,-0.161,-0.218,5.74E-05,Play
0.301,0.000527,0.316,0.215,0.562,-25.2,0.134,0.359,-0.239,0.333,0.0289,0.000228,Play
0.378,0.000212,0.302,0.201,0.543,-27.6,0.284,-0.216,-0.197,-0.0209,-0.282,8.81E-05,Play
0.317,0.000245,0.291,0.212,0.516,-26.4,0.567,-0.0183,-0.234,-0.164,-0.149,0.000252,Play
0.351,0.000342,0.307,0.203,0.539,-27.8,0.0242,-0.0287,-0.181,0.0874,-0.0383,7.24E-05,Play
0.335,0.0003,0.272,0.211,0.494,-25.8,0.359,-0.495,-0.337,-0.235,0.0123,0.000149,Play
0.308,0.000539,0.334,0.207,0.584,-27.1,0.267,-0.00378,-0.0777,-0.0905,-0.113,9.25E-05,Play
0.348,0.000396,0.328,0.219,0.594,-26.1,0.589,0.0433,-0.1,-0.0754,-0.0711,0.000184,Play
0.381,0.00117,0.344,0.204,0.609,-25.4,0.442,-0.198,-0.0614,0.0596,0.0127,0.000112,Play
0.357,0.000914,0.332,0.198,0.555,-24.4,1.08,-0.22,0.00346,-0.0195,-0.0154,0.000414,Play
0.385,0.000467,0.316,0.201,0.55,-27,0.203,0.0815,-0.119,-0.109,-0.0469,0.000145,Play
0.363,0.000694,0.353,0.216,0.636,-25.3,0.0577,-0.344,0.136,0.316,0.107,0.000199,Play
0.353,0.000787,0.346,0.205,0.605,-26.4,0.177,-0.0768,-0.179,-0.163,-0.00963,0.000138,Play
0.312,0.00104,0.316,0.196,0.54,-26,0.32,-0.403,0.0198,0.0248,-0.12,9.95E-05,Play
0.325,0.00132,0.365,0.194,0.596,-26.4,0.391,-0.292,0.0844,0.143,0.00299,6.09E-05,Play
0.307,0.000609,0.347,0.188,0.563,-33.2,0.434,0.937,0.332,-0.00587,-0.0934,1.91E-05,Play
0.321,0.000708,0.36,0.186,0.578,-32.7,0.256,0.127,-0.121,0.05,0.188,2.19E-05,Play
0.323,0.00113,0.344,0.199,0.59,-26.1,0.386,-0.332,-0.159,-0.365,-0.158,6.24E-05,Play
0.298,0.00145,0.341,0.215,0.616,-24,0.817,-0.118,-0.101,0.00799,-0.0866,0.000263,Play
0.293,0.000544,0.351,0.187,0.583,-29,0.737,-0.0913,-0.0408,0.096,0.0165,2.86E-05,Play
0.306,0.000892,0.362,0.197,0.594,-26.7,0.52,-0.163,-0.0836,0.00274,-0.0683,0.000105,Play
0.264,0.000656,0.316,0.208,0.539,-24.6,1.52,-0.455,0.0691,-0.132,0.0832,0.000864,Play
0.241,0.00153,0.335,0.202,0.58,-24.1,0.864,-0.283,-0.0904,0.0759,0.134,0.000231,Play
0.293,0.00208,0.339,0.197,0.582,-24.8,0.784,-0.209,0.018,0.0142,0.0626,0.00012,Play
0.285,0.00113,0.331,0.209,0.603,-24.3,0.832,0.106,-0.0513,-0.00513,0.00626,0.000202,Play
0.288,0.000754,0.307,0.21,0.564,-25.3,0.174,-0.137,-0.0582,0.0848,0.0137,0.000251,Play
0.282,0.000295,0.315,0.212,0.574,-26,0.293,-0.115,-0.118,-0.0276,-0.0499,0.000531,Play
0.326,0.000551,0.354,0.195,0.584,-29,0.233,-0.235,-0.0716,-0.00221,-0.0267,3.29E-05,Play
0.424,0.000317,0.314,0.199,0.539,-29.2,0.105,0.0274,-0.0454,-0.0401,-0.0623,4.96E-05,Play
0.749,0.000218,0.496,0.316,0.945,-28.8,0.376,-0.16,-0.0834,-0.15,-0.244,7.2E-05,Play
0.782,0.0469,0.751,0.236,0.98,-32.1,-2,-0.0228,0.0119,-0.0416,-0.0271,2.53E-06,Play
0.073,0.0113,0.112,0.0926,0.144,-26.7,-3.83,0.846,-0.144,0.763,-0.627,8.76E-05,Play
0.073,0.0133,0.11,0.109,0.136,-25.8,-3.58,1.06,-0.257,0.737,-0.683,0.000111,Play
0.0648,0.0104,0.118,0.121,0.131,-26.3,-3.57,0.948,-0.308,0.716,-0.433,0.000148,Play
