ZCR,Energy,Spectral_centroid,Spectral_spread,Spectral_rollof,MFCC1,MFCC2,MFCC3,MFCC5,MFCC6,MFCC7,Chroma_vector11,Class
0.115,0.0149,0.159,0.134,0.181,-29,-1.36,-0.155,-0.274,-0.156,0.528,5.52E-06,Cry
0.133,0.0126,0.182,0.143,0.277,-27.9,-1.27,-0.0978,-0.765,-0.176,0.616,4.98E-05,Cry
0.0855,0.0125,0.204,0.2,0.154,-30,0.582,1.21,0.157,0.545,0.201,4.32E-05,Cry
0.126,0.0229,0.221,0.203,0.168,-28.8,0.12,0.947,0.165,0.338,0.137,1.57E-05,Cry
0.11,0.0177,0.217,0.205,0.158,-30.3,0.589,1.15,0.285,0.464,0.356,0.000135,Cry
0.121,0.0165,0.216,0.203,0.161,-29.5,0.464,0.863,0.106,0.649,-0.0143,4.02E-05,Cry
0.1,0.0155,0.208,0.202,0.15,-29.8,0.663,0.873,0.131,0.459,0.349,2.21E-05,Cry
0.0846,0.00805,0.209,0.197,0.161,-30,0.682,1.39,0.345,0.34,0.193,0.000113,Cry
0.108,0.0159,0.162,0.165,0.145,-30.5,-2.81,1.52,-0.352,0.317,0.0129,2.35E-05,Cry
0.12,0.014,0.186,0.188,0.144,-29.1,-2.33,1.51,-0.224,0.247,-0.299,9.87E-06,Cry
0.162,0.0186,0.178,0.167,0.196,-28.9,-2.55,1.39,-0.175,0.479,-0.383,1.96E-05,Cry
0.0919,0.00465,0.113,0.12,0.085,-28,-1.82,-0.26,0.0868,-0.387,-0.0405,1.63E-05,Cry
0.0886,0.00207,0.11,0.12,0.0886,-29.9,-1.76,-0.094,-0.0232,-0.254,0.166,8.75E-05,Cry
0.0668,0.0161,0.109,0.11,0.0943,-28.8,-2.41,0.233,-0.271,-0.524,0.172,4.15E-05,Cry
0.0699,0.00807,0.123,0.113,0.108,-30.1,-2.22,-0.14,-0.307,-0.326,0.444,2.32E-05,Cry
0.0715,0.0161,0.111,0.106,0.0898,-30.4,-2.39,0.0245,0.244,-0.476,0.306,3.47E-05,Cry
0.0711,0.00771,0.105,0.0969,0.105,-31.8,-2.4,0.539,-0.0611,-0.0136,0.127,8.85E-05,Cry
0.0602,0.0354,0.109,0.11,0.0404,-30.1,-1.18,0.361,0.0121,-0.175,0.238,2.01E-06,Cry
0.0583,0.0162,0.131,0.168,0.0572,-28.6,1.93,0.76,-0.336,-0.131,0.161,9.01E-06,Cry
0.0639,0.0146,0.152,0.176,0.0905,-29.9,1.14,1.41,0.151,-0.089,-0.38,8.24E-06,Cry
0.0647,0.0164,0.154,0.172,0.0903,-29.1,1.81,1.3,-0.367,-0.201,-0.261,2.27E-05,Cry
0.0589,0.0171,0.143,0.163,0.0808,-29.1,1.49,1.31,0.121,0.0669,0.0662,9.31E-06,Cry
